"project_name","type","credits_issued"
"Monte Rosa Bagasse Cogeneration - CER Conversion","Biomass","294290"
"Pakarab Fertiliser Co-generation Power Project - CER Conversion","Biomass","55416"
"Erik 15.02 MW Hydroelectric Power Plant Project","Hydropower",NA
"Eurus Wind Farm - CER Conversion","Wind","35226"
"7.5 MW wind power project by Dhanji Developers at Nashik, Maharashtra, India","Wind",NA
"Satara Wind Power Project in Maharashtra, India","Wind","551840"
"Ningxia Tianjing 50.25MW Wind-farm Project","Wind","17551"
"Wind Project in Maharashtra, India by Kayathar and Jath","Wind","727910"
"Wind Based Power Generation by Mytrah Energy (India) Limited (EKIESL-VCS-January-16-01)","Wind","2843823"
"Soubre Hydropower Project","Hydropower","4967399"
"Wind Based Power Generation by Panama Wind Energy Godawari Private Limited, Pune in the State of Maharashtra, India","Wind","984462"
"Wind power project at Jaibhim by SIIL","Wind","110347"
"Wind energy project in different locations of India","Wind",NA
"Rick husk based cogeneration plant (5 MW) at Shibzada Ajit Singh Nagar District, Punjab by M/s Nahar Industrial Enterprises limited.","Biomass","174424"
"Wind Based Power Generation by Rajasthan Gum Pvt ltd (EKIESL-VCS-March- 16-01)","Wind",NA
"Biomass/Biogas based heat and power generation at Everest Starch","Biomass","211066"
"Grid Connected Solar Power Project at Rajasthan by Roha Dychem Private Limited","Solar",NA
"6.25 MW grid-connected Sattegala Mini Hydel Scheme at SLS Power Industries Ltd., in Chamarajanagar District, Karnataka - CER Conversion","Hydropower","12884"
"Gangakhed Sugar & Energy Private Ltd (GSEPL) 30 MW Bagasse Based Co-generation Power Project","Biomass","335999"
"Shunchang Yangkou Hydro Power Project, Fujian, China","Hydropower","180363"
"One True Measure (Pty) Ltd Solar PV Grouped Project in South Africa","Solar",NA
"Usak Wind Power Plant","Wind","374572"
"5MW Biomass Based Cogeneration Project at Sainsons","Biomass","96815"
"Wind Power Project by Rajasthan Gum Private Limited (EKIESL-CDM.September-12-02)","Wind","45533"
"Bundled run-of-river mini hydro power projects at Sungai Sia and Sungai Benus, Pahang, Malaysia","Hydropower",NA
"Santa Vitória Cogeneration Project","Biomass","89499"
"La Mina Hydropower Plant","Hydropower","60613"
"Arenal Etapa I-II Hydroelectric Project","Hydropower",NA
"49.5 MW Wind Power Project by Master Wind Energy Limited in Pakistan","Wind","417782"
"Zhejiang Cixi Wind Farm Project","Wind","32556"
"Tejuva-Chandgarh Wind Project","Wind","2851631"
"Hydroelectric Project Aures Bajo","Hydropower",NA
"Adani Enterprises Limited Solar PV Power Project in Gujarat, India","Solar","15327"
"Wind Power Project in Rajasthan by LWEPL","Wind","230788"
"Wind Power Project by ASTRA LIFECARE (INDIA) PRIVATE LIMITED at GUJARAT, INDIA","Wind",NA
"Karacabey Wind Power Project","Wind","347848"
"Zhejiang Qushan Wind Farm Project","Wind","32330"
"BUNDLED WIND VCS PROJECT BY EKIESL (EKIESL- VCS.SEPT 2016-01)","Wind","183273"
"Maldonado II Wind Farm","Wind","434291"
"Bundled Solar VCS Project by EKIESL (EKIESL- VCS.Oct 2016-01)","Solar","417404"
"15 MW Solar Photovoltaic Power Project at Gujarat","Solar","18207"
"Renewable Energy Project in Rajasthan & Maharashtra","Solar","122286"
"Menegalli Ceramic Fuel Switching Project","Biomass","263254"
"Solar Grouped project by ACME Group (EKIESL-VCS-Aug-16-01)","Solar","3760043"
"Wind Grouped project by Hero Future Energies Private Limited (EKIESL-VCS-Aug-16-03)","Wind","1224168"
"Solar Grouped project by Hero Future Energies Private Limited (EKIESL-VCS-Aug-16-02)","Solar",NA
"Solar VCS Project by RSMML (EKIESL-VCS -Nov 2016-01)","Solar",NA
"Fatma WEPP","Wind","487573"
"Denizli Bundled Solar Project","Solar","40434"
"Biomass Based Cogeneration Project by CG GROUP, NEPAL","Biomass",NA
"Primavera Small Hydroelectric Project","Hydropower","75977"
"Larimar Wind Farm Project","Wind","798761"
"Centrale Solaire de Malicounda - Groupe Solaria","Solar",NA
"Zhangbei Manjing Windfarm Project - CER Conversion","Wind","130276"
"Tugela Mill Fuel Switching Project - CER Conversion","Biomass","39980"
"Dachunhe Sanji 6MW Hydropower Project in Yunnan Province","Hydropower","170617"
"Wind bundle project in Maharashtra by Sispara","Wind","459712"
"Costa Rica Grouped Wind Project","Wind","362644"
"HPP Project Liberia","Biomass","22906"
"Çerçikaya Wind Power Project","Wind","641887"
"Bundled Wind Power Project by Giriraj Enterprises","Wind","1005481"
"Bundled Solar Power Project by D.J. Malpani and Giriraj Enterprises","Solar","643101"
"Wind based power generation by Panama Wind Energy Private Limited in Maharashtra, India","Wind","786307"
"Çiçekli HEPP Project","Hydropower",NA
"Vaayu India Wind Power Project in Gujarat - CER Conversion","Wind","26188"
"Grid Connected Wind Energy Generation at Andhra Pradesh.","Wind","18161"
"Bundled Wind Power Project in Madhya Pradesh, Gujarat and Kerala by D.J. Malpani","Wind","537844"
"Bundled Wind Project Activity by M/s Bhagyanagar India Ltd and M/s Surana Telecom and Power Limited","Wind","97154"
"Kahone Solar PV Plant","Solar","72233"
"Grid connected 25 MW PV solar power project at Charanka in Gujarat","Solar","181018"
"Grid connected bundled wind projects in Gujarat and Tamil Nadu","Wind",NA
"Zhongfang County Pailou Hydro Project, China","Hydropower","132869"
"5 MW Upper Awa Hydro Power Project in Himachal Pradesh by M/s Astha Projects (India) Limited","Hydropower","73852"
"15 MW Wind Power Project by RSPL Ltd (EKIESL-CDM-May-16-04)","Wind","30887"
"Wind Power Project in Maharashtra State, India","Wind","27582"
"22.5 MW Bhilangana Hydro Power Project (BHPP) - CER Conversion","Hydropower","32574"
"24 MW Perla Mini Hydel Project, Karnataka, India - CER Conversion","Hydropower","6719"
"5 MW Sahu Hydro Electric Project for a grid connected system in Himachal Pradesh, India - CER Conversion","Hydropower","9880"
"Song Chung Hydropower Project - CER Conversion","Hydropower","8561"
"22.5 MW grid connected wind farm project by RSMMLin Jaisalmer,India","Wind","63050"
"Incomex Hydroelectric Project","Hydropower","3027"
"Nam Mo 3 Hydro Power Project - CER Conversion","Hydropower","4070"
"Huadian Ningxia Ningdong Yangjiayao 45MW Wind-farm Project - CER Conversion","Wind","722"
"3MW Solar PV based power generation by Jindal Poly Films","Solar","3754"
"140 MW Solar Photovoltaic Project in Rajasthan","Solar","1503911"
"Pingwu Renjiaba 12.6 MW Small Hydropower Project","Hydropower","30211"
"Matebe Hydroelectric plant","Hydropower","162403"
"Yunnan Zemahe 15MW Small Hydropower Project, P. R. China","Hydropower","31734"
"Escuela de Minas Hydroelectric Project","Hydropower","195205"
"Biomass Power Projects by Spark Green Energy Group India","Biomass",NA
"Bundled Wind Power Project by Mytrah Group","Wind","6000640"
"Vishnuprayag Hydro-electric Project (VHEP) by Jaiprakash Power Ventures Ltd.(JPVL)","Hydropower","12379884"
"Bundled Solar PV based power generation by JKLCL","Solar",NA
"Kinik Wind Power Plant","Wind","517689"
"Nouakchott 30 MW wind power plant","Wind","592812"
"Large scale grid connected solar PV Project in Toujounine (Nouakchott)","Solar","277465"
"Negros Island Solar Power Inc.","Solar","259688"
"Pampeana and Terra Santa Small Hydropower Plants Project Activity - CER Conversion","Hydropower","50000"
"3 MW Hydro Power Project by Darjeeling Power Pvt. Ltd.","Hydropower","24386"
"Shilong Small-Scale Hydro Power Project","Hydropower","121330"
"Yumrutepe Regulator and 15.013 MW Hydroelectric Power Plant Project","Hydropower","83856"
"Hydroelectric Project in Kinnaur District in Himachal Pradesh","Hydropower","29486267"
"4 MW Biomass based cogeneration plant by Godrej Agrovet Ltd.","Biomass","115378"
"Bundled Solar Power Project by Vector Green Sunshine Private Limited and Polepally Solar Parks Private Limited","Solar","475692"
"108 MW Fatanpur Wind Power Project in Madhya Pradesh","Wind","1150647"
"Siliping Small-Scale Hydro Power Project","Hydropower","112145"
"Bundled Wind power project in Tamilnadu, India co-ordinated by the TamilNadu Spinning Mills Association (TASMA) - CER Conversion","Wind","1030"
"Bundled Solar Photovoltaic Project by ACME","Solar","8526931"
"Reading Wind Energy, LLC","Wind","1171975"
"Dereli Hydroelectric Power  Plant","Hydropower","446347"
"Bundled Solar Power Project by Solararise India Projects PVT. LTD.","Solar","1265463"
"Outapi Pv Plant","Solar","20743"
"Bundled Solar Power Project by Mahindra Susten Private Limited","Solar","2002439"
"216 MWac Kamuthi Solar Power Project","Solar","1129958"
"Bundled Solar Power Project by Vector Green Energy Private Limited","Solar","1117834"
"46 MW Mangoli Wind Power Project in Karnataka","Wind","737270"
"Solar and Wind Power Project by NTPC Limited","Solar",NA
"Grid-connected Solar PV project in Bokhol","Solar","179065"
"Wind Power Project by Green Infra Wind Power Generation Limited","Wind","545422"
"Lahendong Unit 5 & Unit 6 Geothermal Project","Geothermal",NA
"MRMPL Wind Power Project","Wind","151464"
"Solar PV Power Project by Prayatna Developers Pvt. Ltd. at Bhatinda, Punjab","Solar","551111"
"72 MWac Ramnad Renewable Energy Project","Solar","392362"
"Solar Power Project by Mytrah Energy India Private Limited","Solar","3141114"
"Solar Photovoltaic Project by Giriraj Renewables Private Limited","Solar","1002134"
"Renewable Power Project by Animala Wind Power Private Limited","Wind","537220"
"Renewable Power Project by Saipuram Wind Energies Private Limited","Wind","655598"
"Renewable Power Project by SEI Kathiravan Power Private Limited","Solar","342241"
"Renewable Power Project by Axis Wind Farms (MPR Dam) Private Limited","Wind","748026"
"Pavagada Solar Renewable Power Project by Greenko Group","Solar","386467"
"Ghani Solar Renewable Power Project by Greenko Group","Solar","6052086"
"Renewable Power Project by Devarahipparigi Wind Power Private Limited","Wind","953025"
"Santa Rosa-Altamira hydroelectric projects","Hydropower",NA
"El Molino-San Matias hydroelectric projects","Hydropower","455910"
"Hydroelectric projects at Oibita River","Hydropower",NA
"Rialma Companhia Energética I S/A. – Santa Edwiges I Small Hydro Power Plant - Small Scale CDM Project","Hydropower","5222"
"12 MW Raura Hydro Project by DLI Power","Hydropower","117238"
"Philip Wind Partners, LLC","Wind",NA
"Combio Renewable Biomass Project - Três Marias","Biomass","253465"
"Solar Energy Project(s) by SB Energy Private Limited","Solar","8052350"
"Biomass based thermal energy generation project by Dynamic Fine Paper Mill at Polai Kalan, Deegod, Kota","Biomass","75373"
"Ruso Wind Partners, LLC","Wind",NA
"Tri-Mid, LLC","Solar",NA
"VTRM Renewable Energy","Solar","2853360"
"Wind Power Project in Gujarat, India","Wind",NA
"Renewable Solar Power Project by Adani Green Energy Limited","Solar","5343328"
"Wind power project in Tirunelveli Tamilnadu","Wind","34262"
"19.2 MWp Solar Power Project by HZL at Debari and Dariba, Rajasthan","Solar","46473"
"Manantiales Behr Wind Farm","Wind","861031"
"10 MW wind power project by Powerica at BDS - Gujarat","Wind","171054"
"21.8 MW Wind Power Project at Jangi Vandhiya, Gujarat by Powerica Limited","Wind","376387"
"Liucheng Biomass Power Generation Project in Guangxi Zhuang Autonomous Region, China","Biomass","1069816"
"Mahuangliang Wind Project","Wind",NA
"Biomass based independent power project at Malwa Power Private Limited, Mukatsar, Punjab","Biomass",NA
"Biomass based power project in Punjab, India","Biomass",NA
"Wind Power Project at Theni by Powerica Limited","Wind","172406"
"Wind Energy Project at Devbhoomi Dwaraka,Gujarat by Powerica Limited","Wind","339471"
"60 MW Solar by Solarsys Non Conventional Energy Pvt. Ltd. - Ilkal.","Solar",NA
"Caruquia 9.76 MW Hydroelectric Project","Hydropower","23636"
"Guanaquitas 9.74 MW Hydroelectric Project","Hydropower","77183"
"Renewable Energy Wind Power Project in Karnataka","Wind",NA
"CECIC HKC Danjinghe Wind Farm Project","Wind","379905"
"Ovejería Photovoltaic Power Plant","Solar","33270"
"Santa Teresa Hydropower Plant","Hydropower","666406"
"100 MW SOLAR PROJECT IN BHADLA IN RAJASTHAN.","Solar","618866"
"100 MW SOLAR BY GIRIRAJ RENEWABLES PVT. LTD.- SATARA.","Solar",NA
"80 MW SOLAR BY FERMI SOLAR FARMS PVT LTD - CHALISGAON.","Solar","474139"
"30 MW SOLAR BY AVAADA SUSTAINABLE ENERGY PVT LTD – HANAGAL.","Solar",NA
"30 MW SOLAR BY SOLARSYS NON CONVENTIONAL ENERGY PVT. LTD. - BANAVIKAL.","Solar",NA
"Ranchland Solar, LLC","Solar",NA
"Fuel-Switching Project from Fossil Fuels to Biomass in La Providencia, Arcor","Biomass","218569"
"Pesqueiro Energia Small Hydroelectric Project (PESHP) - CER Conversion","Hydropower","5000"
"Renewable Solar Power Project by ReNew Solar Power Private Limited","Solar","10955876"
"9.9 MW Wind Power Project by KPL International Ltd. in Gujarat","Wind","119563"
"20 MWAC (22 MWDC) SKCIL SOLAR POWER PLANT PROJECT","Solar","115460"
"Bundled Wind Power Project by Sembcorp Green Infra Limited in India","Wind","1092161"
"Grouped OFF-GRID Renewable Energy Project in India","Solar","12500"
"Jintang 15.5MW Hydropower Project","Hydropower",NA
"3.5MW Manuni Hydro Electric Project in Himanchal Pradesh by Winsome Textile Industries Ltd","Hydropower","51723"
"Bundled Wind Power Project in Gujarat and Tamil Nadu","Wind","118336"
"Ningxia Xiangshan Wind Farm Project","Wind","4041916"
"GUACHICONO SMALL HYDROELECTRIC PROJECT","Hydropower",NA
"Maobaguan 24MW Hydropower Project","Hydropower",NA
"Gezin Solar Power Project","Solar","13936"
"Zhangjiakou Chabei Wind Farm Project","Wind","216595"
"Guangxi Fusui Qiquan biomass power generation project","Biomass","103226"
"Thangarabalu Small Hydel Project at Karnataka","Hydropower","58186"
"Bundled renewable energy project in Gujarat and Karnataka, India","Wind","41663"
"Adavikanda, Kuruwita Division Mini Hydro Power Project - CER Conversion","Hydropower","20000"
"Ejuva One and Ejuva Two Solar Projects","Solar","135754"
"Grid Connected Solar Energy Project","Solar","1784173"
"Kishanganga Hydroelectric Project","Hydropower","685478"
"SOLAR GROUPED PROJECT BY EPSA-CELSIA","Solar",NA
"18 MW Kemphole Mini Hydel Scheme (KMHS), by International Power Corporation Limited, India","Hydropower","220652"
"50 MW Tsetsii Wind Farm in Mongolia","Wind","602966"
"CECIC Zhangbei Gaojialiang Wind farm Project","Wind",NA
"VTRM Renewable Energy 2","Wind","1705236"
"Wind Power Project in Tamil Nadu by Green Infra Renewable Energy Limited","Wind","3242704"
"Kocalar Wind Power Project, Turkey","Wind","194803"
"Hasanoba Wind Power Project, Turkey","Wind","201200"
"Üçpinar Wind Power Project, Turkey","Wind","573248"
"Denizli Wind Power Project, Turkey","Wind","294987"
"Santa Ana Hydroelectric Plant - CER Conversion","Hydropower","44"
"4×50 MW Dayingjiang- 3 Hydropower Project Phases 1&2","Hydropower","3613009"
"Run-of-the-river Hydroelectric Power Project in Uttarakhand by Alaknanda Hydro Power Company Limited","Hydropower",NA
"Erzurum Hinis Solar Power Plant","Solar","33230"
"150 MW Solar Project in Karnataka by Avaada Solar","Solar","753847"
"Ombepo Wind","Wind","129670"
"48 MW Houqiao Hydropower Project, Yunnan, China","Hydropower","943454"
"24.45 MW Biomass based project in Punjab","Biomass","157173"
"Van Solar Power Project","Solar",NA
"Amasya Solar Power Project","Solar",NA
"Yaysun-MT Solar Power Project","Solar",NA
"Tokat Solar Power Project","Solar",NA
"ME-SE Solar Power Project","Solar",NA
"Iota M. Firinci Solar Power Project","Solar","20372"
"Yunnan Ajiutian 115.5 MW Hydropower Project","Hydropower",NA
"Energising India using Solar Energy Projects","Solar","3470882"
"Mavibayrak Biomass Power Plant Project","Biomass","144914"
"Patikari Hydro Electric Power Project in Distt-Mandi, Himachal Pradesh, India","Hydropower","257116"
"WIND POWER GROUPED PROJECT BY CELSIA COLOMBIA - BEGONIA POWER","Wind",NA
"Song Lo 4 Hydropower Project","Hydropower","90700"
"CECEP Gansu Yumen Changma Daba South Wind Farm Project","Wind","578197"
"Yunnan Wunihe 30 MW Hydropower Project","Hydropower",NA
"CECEP Gansu Yumen Changma Daba North Wind Farm Project.","Wind","585985"
"Renewable Solar Power Project by Hero Future Energies","Solar",NA
"20MW Samal Grid-connected Hydroelectric Project in Orissa, India","Hydropower","293574"
"MSA-1 Hydropower Plant","Hydropower","42028"
"Renewable Wind Power Project by Hero Future Energies","Wind","225066"
"Inner Mongolia Wujier Phase I Wind Power Project","Wind","872200"
"Badamsha Wind Farm in Kazakhstan- DUPLICATE, see ID 1954","Wind",NA
"Longyuan Mulilo De Aar Maanhaarberg Wind Energy Facility","Wind","1440797"
"8.3 MW Wind Electricity Generation Project by Parakh Agro Industries Limited in Dhule, Maharashtra","Wind","40675"
"Longyuan Mulilo De Aar 2 North Wind Energy Facility","Wind","2794486"
"HUANENG CHANGTU TAIPING WIND FARM PROJECT","Wind",NA
"Huaneng Tongyu Tuanjie Phase A Wind Farm Project","Wind",NA
"Badamsha Wind Farm in Kazakhstan","Wind","339170"
"Jilin TongHua Biomass Power Project","Biomass",NA
"Shaanxi Chengcheng Biomass Power Project","Biomass",NA
"My Son - Hoan Loc Viet Solar Energy Project","Solar","229817"
"Aussenkehr solar","Solar","76296"
"7 MW Hydel Based Power Unit on River Jatashankari, Chhattisgarh","Hydropower",NA
"Daan Laifu Wind Farm Phase II Project","Wind","52267"
"Tataouine Solar Photovoltaic Plant in Tunisia","Solar",NA
"Quang Minh Solar Power Project","Solar","243634"
"Cat Hiep Solar Power Project","Solar","235442"
"Huaneng Gansu Huajialing 49.5MW Wind Power Project","Wind",NA
"Wind Power Project at Tamil Nadu, India","Wind",NA
"Grid Connected Wind Energy Project in Gujarat","Wind",NA
"Kamiranga Ceramic Fuel Switching Project","Biomass","373522"
"Ventus Wind Farm in El Salvador","Wind","156756"
"SAKAL SOLAR FARM","Solar","127940"
"Guangxi Longan Biomass Power Project","Biomass","249461"
"Huaneng Tongyu Tuanjie Phase E Wind Farm Project","Wind",NA
"Srepok 1 Solar Power Project","Solar","245548"
"Hong Phong 4 Solar 48 MW Project","Solar","278156"
"Renewable Solar Power Project by Shapoorji Pallonji","Solar","1178056"
"Oualidia 1&2 Wind Projects","Wind",NA
"Malleco, Lomas de Duqueco and Negrete Wind Project, Chile","Wind",NA
"10 MW biomass based power generation project at Wani, Yavatmal by Shalivahana Projects Limited","Biomass",NA
"J L Silva Ceramic Fuel Switching Project","Biomass","263291"
"24 MW Chayadevi Mini Hydro power project in Karnataka, India","Hydropower",NA
"Ngodwana Biomass to Energy Project","Biomass",NA
"Guangdong Taishan Shangchuandao Island Phase II Wind Farm Project","Wind","28813"
"40 MW Bundled Solar Project in Telangana, India","Solar",NA
"100 MW Bundled Wind Power Project in Anantapuram, Andhra Pradesh","Wind","163066"
"13 MW Grid Connected Dandela Mini Hydel Scheme, Karnataka State, India.","Hydropower",NA
"GENNEIA WIND PROJECTS IN ARGENTINA","Wind","1495594"
"Oualidia 1&2 Wind Projects.","Wind","50347"
"Santorini Ceramic Fuel Switching Project","Biomass","104155"
"40MW Bundled Solar Project in Telangana, India","Solar","223938"
"Bundled Wind Power project in Koppal Karnataka","Wind","774163"
"PEBSA-Del Bicentenario Wind Farm","Wind",NA
"Folha Larga Sul Renewable Energy","Solar",NA
"GENNEIA SOLAR PROJECTS IN  ARGENTINA","Solar","370561"
"TROPICAL WIND IN THAILAND","Wind","563387"
"Cerro Dominador Concentrating Solar Power Plant in Chile","Solar","298509"
"KRISSANA WIND POWER IN THAILAND","Wind","469585"
"LITL's Wind Power Project at Tamilnadu","Wind","17360"
"Velotex Ceramic Switching Fuel Project","Biomass","222834"
"K.R.S. THREE IN THAILAND","Wind","542808"
"K.R. ONE IN THAILAND","Wind","431188"
"THEPARAK WIND IN THAILAND","Wind","599371"
"Benban Solar PV Project (Plot 3_1)","Solar","232275"
"Ouarzazate II Concentrated Solar Power Project","Solar","556706"
"OUARZAZATE III CONCENTRATED SOLAR POWER PROJECT","Solar","127480"
"West Huaybong 3 wind farm project","Wind",NA
"Benban Solar PV Project (Plot 43_4)","Solar","232304"
"Benban Solar PV Project Plot (42_4)","Solar","101515"
"Renewable Energy Generation at Hamira","Biomass",NA
"Barbosa Ceramic Fuel Switching Project","Biomass","219118"
"Huaneng Liaoning Fuxin Phase II Wind Farm Project","Wind",NA
"Liaoning Fuxin Gaoshanzi 100.5MW Wind Power Project","Wind",NA
"Jilin Tongyu Huaneng 100.5MW Wind Power Project","Wind",NA
"50 MW SOLAR PROJECT BY AVAADA IN UP (INDIA)","Solar","31691"
"Renewable Solar Photovoltaic Project by ACME Group","Solar",NA
"Grouped Solar Projects in Jordan","Solar",NA
"Karnataka Pavagada-II Solar Project by Avaada (150 MW)","Solar","522568"
"Santana Renewable Energy","Wind",NA
"100 MW grid connected Wind Power project in Jamnagar Gujarat, India","Wind","744323"
"Bom Jesus Ceramic Fuel Switching Project","Biomass","132833"
"250 MW Wind Power Project by Mytrah Energy","Wind","1853869"
"Gravier Renewable Energy1","Wind",NA
"Huaneng Daqing Wukeshu Wind Farm Project","Wind",NA
"Renewable Solar Power Project By Rishabh Renergy","Solar","47877"
"Nam Si Luong 1 hydropower project","Hydropower",NA
"Huaneng Tuokexun Baiyanghe Third Stage 49.5MW Wind Farm Project","Wind",NA
"Allain Duhangan Hydroelectric Project (ADHP)","Hydropower","1535217"
"Bundled Solar Power Project by Hindustan Zinc Limited","Solar",NA
"100 MW Solar Project by Avaada in UP (India)","Solar",NA
"Huaneng Daqing Heping Wind Farm Project","Wind",NA
"Huaneng Daqing Xinli Wind Farm Project","Wind",NA
"ReNew Power bundled Wind Project","Wind",NA
"300 MW Solar Project by Avaada in Gujarat (India)","Solar",NA
"3.5 MW Small Hydro Project In Himachal Pradesh","Hydropower","45316"
"IBRI II Solar Independent Power Project","Solar",NA
"Solar Power Project by Renew Solar Power Private Limited","Solar",NA
"OUARZAZATE IV CONCENTRATED SOLAR POWER PROJECT","Solar","137530"
"Bundled Solar PV Rooftop Project by MAS - Phase I","Solar",NA
"Energising Indian homes by Solar rooftop projects","Solar","68935"
"Badamsha 2 Wind Farm in Kazakhstan","Wind",NA
"Vinh Hao 6 Solar Power Project","Solar","214629"
"123 MW SOLAR PV IPP PROJECT ON LANDFILL IN BAHRAIN","Solar",NA
"Renewable Wind Power Project by Adani","Wind","1376160"
"Renewable Solar Power Project by Adani","Solar","611755"
"Renewable Wind Power Project by Torrent Power","Wind",NA
"Huaneng Tuokexun Baiyanghe First Stage 49.5MW wind farm project","Wind",NA
"200 MW Kom Ombo Solar PV Power Project In Egypt","Solar",NA
"20 MW Capacity Biomass based Power Project of M/s. SHALIVAHANA GREEN ENERGY LIMITED","Biomass",NA
"Kunming Shilin Grid-connected Solar Power Generation Project","Solar",NA
"Huaneng Daqing Aobao Wind Farm Project","Wind",NA
"Huaneng Gansu Guazhou Ganhekou No.2 Wind Farm Project","Wind",NA
"1944 MW SUDAIR SOLAR PROJECT","Solar",NA
"Renewable Wind Power Project by Axis Wind Farms (Rayalaseema) Pvt. Ltd","Wind","923672"
"Smart Anatolia Bundled Solar Project","Solar","37431"
"Installation of 240 MW Hydroelectric Project at Kutehr in the Chamba district of Himachal Pradesh by JSW Energy","Hydropower",NA
"Shaoguan City Shaoneng Biomass Power Generation Project","Biomass",NA
"Renewable Solar Power Project By SolarArise India Projects Pvt. Ltd.","Solar","184966"
"50MW Greenfield Solar Plant in UP by Jakson Group","Solar","50186"
"Renewable Solar Power Project by Mahindra Renewables Private Limited","Solar","1355158"
"Suba and Usaquen Hydroelectric Umbrella Project","Hydropower","22334"
"Diadema II Wind Farm","Wind",NA
"West Huaybong 2 wind farm project","Wind",NA
"El Mataco y San Jorge Wind Farm","Wind",NA
"Renewable Solar Power Project by Torrent Power","Solar",NA
"Renewable Energy Power Projects by Atria Power","Solar","819638"
"PEBSA II-Del Bicentenario II Wind Farm","Wind",NA
"Rao Trang Hydro Power 4 & 3","Hydropower",NA
"Solar PV Greenfield project by Azure India","Solar",NA
"Greenfield Solar Power Mission by Fortum India","Solar","1516252"
"EOLO Wind Power Project","Wind","30000"
"Jiro Kanto rural hydro-electricity in Alaotra-Mangoro","Hydropower",NA
"Rio Taquesi Hydroelectric Power Project - CER Conversion","Hydropower","50000"
"Wind Electricity Generation Project. - CER Conversion","Wind","75000"
"AKKENT-ÇALKUYUCAK HYDROELECTRIC POWER PLANT","Hydropower",NA
"Kirazlık Hydroelectric  Power Plant Project","Hydropower","479318"
"Waste to Energy Projects by Mahindra Waste to Energy Solutions Limited","Biomass","28733"
"Koclu Regulator and Hydroelectric Power Plant (Koçlu Regulator & HEPP)","Hydropower","451416"
"Duzce Aksu Hydro Electricity Power Plant","Hydropower","331039"
"Akbas Hydroelectric Power Plant","Hydropower",NA
"Tepekisla Dam & Hydropower Plant Project","Hydropower","632185"
"7.3 MW Bundled Wind Power Project by Oswal Cables","Wind",NA
"cancelled duplicate of VCSR218","Wind",NA
"BAESA Project `","Hydropower",NA
"2 x 3.5 MW Ullunkal Hydro Power Project in Kerala, India","Hydropower",NA
"Chongqing Youyang County Youchou Hydropower Station Project","Hydropower",NA
"Duzce Aksu Hydro Electricity Power Plant - DUPLICATE (replaced by VCSR1815)","Hydropower",NA
"Akbas Hydroelectric Power Plant -DUPLICATE","Hydropower",NA
"10 MW Grouped Wind Power Project in Maharashtra State, India","Wind",NA
"Installation of wind power project in Rajasthan and Tamil Nadu","Wind","249703"
"Wind power project in Madhya Pradesh, India","Wind","125737"
"Lalpur wind farm in Gujarat","Wind","275169"
"Wind power project in Rajasthan, India","Wind","54223"
"Nallakonda wind farm in Andhra Pradesh","Wind",NA
"Tadas Wind Farm in Karnataka","Wind",NA
"Wind energy project by LWEPL-1","Wind","295277"
"15 MW bundled gird connected renewable energy project in Maharashtra, India.","Solar","72662"
"Wind Power Project by M/s D. J. Malpani at Jath in Maharashtra","Wind",NA
"Renewable Energy based power generation projects in Bangladesh","Solar","30557"
"Ambatolampy 20 MW solar PV","Solar","69613"
"Solitude 16 MW solar PV","Solar","92816"
"Henrietta solar PV project","Solar","105008"
"Luviro hydro plant","Hydropower",NA
"7 MW Bundled Hydro power project at Himachal Pradesh of Raajratna Energy Holdings Pvt. Ltd","Hydropower","69044"
"Oaxaca II Wind Energy Project. - CER Conversion","Wind","1832"
"14 MW Wind Power Project in Maharashtra","Wind","27868"
"Bundled Wind Power Project in Maharashtra and Gujarat by M/s. Rajmal Lakhichand","Wind",NA
"7.5 MW Wind Power Project by M/s. NITCO Limited in Maharashtra","Wind","65631"
"Mobuya Mini Hydro Power Plant 3 x 1000 kW North Sulawesi, Indonesia","Hydropower","54061"
"Guohua Inner Mongolia Huitengliang West Wind Farm Project","Wind","83396"
"Wind Power Project in Maharashtra by Sri Kumarswamy Mineral Exports","Wind",NA
"Longsheng Hydropower Station Project","Hydropower","71685"
"Santangou First and Second Grade Hydropower Stations Project","Hydropower","41024"
"Off grid Solar PV project at IAMGOLD Essakane SA Gold Mine","Solar","85009"
"8.75 MW Bundled Wind Power Project in Kappatgudda, Karnataka (India)","Wind","16128"
"Bundled Solar Water Heater Project","Solar",NA
"Bundled Grid Connected 2.9 M.W. Wind Power Project in India by Kamal Engineering Corporation [Unit of KEC Industries Ltd]","Wind","21679"
"Fujian Jiangle Dayan 32MW Hydropower Project","Hydropower",NA
"BUNDLED WIND POWER PROJECT IN TAMILNADU, INDIA CO-ORDINATED BY THE TAMILNADU SPINNING MILLS ASSOCIATION (TASMA.)","Wind",NA
"Fuel oil to animal tallow switching at Companhia de Fiação e Tecidos Santo Antônio","Biomass","13523"
"Development of Programmatic CDM Project for SWH installation under MNRE, UNDP/GEF Global Solar Water Heating Market Transformation and Strengthening Initiatives: India Country Programme – CPA 0001","Solar",NA
"1.25 MW Wind Power Project by M/s. Garden Court Distilleries Pvt. Ltd. at Sangli, Maharashtra, India","Wind","5744"
"Bundled Wind Power Project in Tamilnadu, India, Co-ordinated by Tamilnadu Spinning Mills Association(TASMA-II)","Wind","5406943"
