"project_name","type","credits_issued"
"Everbright Suqian & Huaining Bundled Solar PV Power Generation Project_preCDM VER","Solar","2343"
"Everbright Zhenjiang Bundled Solar PV Power Generation Project_preCDM VER","Solar","2533"
"GRID CONNECTED BUNDLED WIND POWER PROJECT IN GUJARAT MANAGED BY ENERCON (INDIA) LIMITED","Wind","95393"
"Project Kamojang unit 5 PT. Pertamina Geothermal Energy","Geothermal",NA
"Project Karaha Unit 1 PT. Pertamina Geothermal Energy","Geothermal","192809"
"Biomass Power Generation Project by Everbright Alternative Energy (Dangshan) Limited","Biomass","161419"
"10.5 MW wind power project in Ossiya Rajasthan by Gujarat Fluorochemicals Limited (GFL)","Wind",NA
"19.5 MW wind power project in Ossiya Rajasthan by Gujarat Fluorochemicals Limited (GFL)","Wind",NA
"SEFERIHISAR WPP","Wind",NA
"AKDERE-TUFEKCIKONAK HYDRO BUNDLE","Hydropower",NA
"National Bio Energy Nangong Biomass Power Plant","Biomass",NA
"Qinghai photovoltaic water pump system for irrigation project","Solar",NA
"10MW Adares Wind Power Project","Wind",NA
"Akbuk Wind Power Plant","Wind","257562"
"ORTAMANDIRA WPP","Wind","130006"
"DENIZLI WPP","Wind",NA
"Solar water heaters for rural areas in Georgia","Solar",NA
"Icdas Biga Wind Farm Project","Wind","436964"
"KANIJE Wind Farm Project","Wind",NA
"San Carlos Solar Energy Project","Solar",NA
"Solar Power Company 94MW Project","Solar","92668"
"Belen Elektrik Üretim A.Ş.","Wind",NA
"Enercon Wind Farm (Hindustan) Ltd in Rajasthan","Wind","606191"
"Qinghai Jingneng Ge'ermu Solar PV Power Project","Solar",NA
"Haijin Gonghe 10MWp Solar PV Project","Solar","51294"
"Yixin Gonghe 10MWp Solar PV Project","Solar","52616"
"Xenamnoy 6 Hydropower Project","Hydropower","72106"
"Güvercin Hydroelectric Power Plant","Hydropower",NA
"Kurtkayasi Wind Power Plant","Wind","296487"
"Yongren Ganbala Grid-connected Photovoltaic Power Project","Solar","126360"
"Gansu Jinchang Magang and Huangmaopo Bundled Wind Power Project","Wind","710831"
"Ningxia Lingwu Baitugang 40MWp Solar PV Power Generation Project","Solar","335931"
"National Bio Energy Tongliao Biomass Power Plant","Biomass","739489"
"National Bio Energy Changtu Biomass Power Plant","Biomass","746170"
"Xe Namnoy 2 - Xe Katam 1 Hydropower project","Hydropower","203032"
"Houay Lai Hydropower project","Hydropower",NA
"Houay Saloung Hydropower project","Hydropower",NA
"Mobisol Solar Home Systems Micro-Scale PoA","Solar",NA
"GS2527 - Mobisol Solar Home Systems in Tanzania – VPA 1","Solar","45447"
"Shuangliao Solar PV Power Generation Project","Solar","25062"
"Tailai Tangchi Solar PV Power Generation Project","Solar","63293"
"Mel 2 Wind Farm CDM Project Activity","Wind",NA
"Calango and Caetité Wind Farms Complexes CDM Project Activity","Wind",NA
"GS1354 Vietnam Small Hydro PoA - Ea Sup 3 Hydropower Project (CPA2)","Hydropower","46003"
"Heilongjiang Bin County Dageling and Daquanzi bundled Wind Power Project","Wind",NA
"Çesme Wind Power Project Turkey","Wind","198041"
"Fuatres Wind Power Plant Turkey","Wind","204011"
"Harmanlik Wind Power Plant Turkey","Wind","672362"
"Koru Wind Power Plant Turkey","Wind","606064"
"Mut Wind Power Plant Turkey","Wind","540660"
"Bereketli Wind Power Plant Turkey","Wind",NA
"Taibus Banner Touzhijian 49.5MW  Wind Power Project","Wind","472767"
"Ecological Greenhouse Project","Geothermal",NA
"Henan Sheqi Xiawaxiang  Wind Farm  Phase I Project","Wind","368724"
"Zhangbei Danjinghe Phase III 49.5MW Wind Power Project","Wind","267639"
"Kanfeng 15 MW Hydropower Station Project Min County Dingxi City Prefecture Gansu province China","Hydropower",NA
"Sincik Wind Power Plant","Wind","61323"
"Nam Mo 3 Hydropower Project","Hydropower",NA
"Huili Shubaoxiang Solar PV Power Generation Phase I Project","Solar","40015"
"Ulan Phase II 10MWp Solar PV Project","Solar","56015"
"Dongdongtan 9MWp Solar PV Project","Solar","30334"
"Ova Wind Power Plant","Wind","86925"
"Kavakli Wind Power Plant","Wind","881981"
"Sibel WPP","Wind",NA
"81MW Caparispisan Wind Energy Project","Wind","536707"
"Nam Samoy Hydropower Project","Hydropower",NA
"Guizhou Kaiyang Nanjiang Hydropower Station Project","Hydropower",NA
"Guizhou Kaiyang Zijiang Hydropower Station Project","Hydropower",NA
"Nam Long Hydropower Project","Hydropower","183637"
"GS1354 Vietnam Small Hydro PoA - Krong No 2 Hydropower Project","Hydropower","55112"
"GS1354 Vietnam Small Hydro PoA - Krong No 3 Hydropower Project","Hydropower","49388"
"GS1354 Vietnam Small Hydro PoA - Nam Chim 1A Hydropower Project","Hydropower","36281"
"GS1354 Vietnam Small Hydro PoA - Song Mien 5A Hydropower Project","Hydropower","42530"
"GS1354 Vietnam Small Hydro PoA - Ta Trach Hydropower Project","Hydropower","142913"
"Suloglu Wind Power Plant Turkey","Wind","423179"
"GÖKBÖGET MICRO HYDRO ELECTRIC POWER PLANT","Hydropower",NA
"Xenamnoy 1 Hydropower Project","Hydropower","318177"
