"project_name","scope","credits_issued"
"Tradewater ODS 36","Supply Chain","133145"
"Anew - Blue Ridge Escarpment Forestry Project","Reforestation","123727"
"Spray Foam Alpha","Supply Chain","200854"
"Anew - Doyon Native Community Forest Project","Reforestation","546364"
"NMMC1","Supply Chain","46747"
"CMMC1","Supply Chain","36373"
"Anew - Elk Forestry Project","Reforestation","390197"
"Anew - Boone Forestry Project","Reforestation","891873"
"Tradewater Halon","Supply Chain","5704"
"Advanced Refrigeration US49 - ARS 004","Supply Chain","401452"
"Advanced Refrigeration CAL - ARS 004B","Supply Chain","44571"
"Advanced Refrigeration CAN - ARS 004C","Supply Chain","34725"
"Forest Carbon Works Posner Family Forest Project","Reforestation",NA
"Forest Carbon Works McMahon Family Forest Project","Reforestation",NA
"Forest Carbon Works Christensen Family Forest Project","Reforestation","3900"
"Anew - Moose Country Divide Forestry Project","Reforestation","270710"
"True Manufacturing FBA Project 002","Supply Chain","291297"
"Deep Mine 26 Abandoned Mine Methane Recovery Project","Supply Chain","129596"
"Tradewater ODS 37","Supply Chain","100810"
"Marshall County Flare II","Supply Chain","225648"
"Marshall County Flare III","Supply Chain","79342"
"Marion County Flare I","Supply Chain","95698"
"Anew - Michigan DNR Big Wild Forestry Project","Reforestation","770341"
"Tradewater ODS 35a","Supply Chain",NA
"Anew - Columbia River Forestry Project","Reforestation",NA
"Anew - Tomah Highlands Forestry Project","Reforestation","154294"
"Anew - Apalachicola River Forestry Project","Reforestation",NA
"Hudson Tech 2021-1","Supply Chain","163910"
"Spray Foam Alpha 2","Supply Chain","306412"
"Spray Foam Omega 3","Supply Chain","1610884"
"Foam Blowing Agent Project 003F","Supply Chain","1934327"
"Foam Blowing Agent Project 002F","Supply Chain","321718"
"Foam Blowing Agent Project 001M","Supply Chain","432039"
"Tradewater ODS 38","Supply Chain","136658"
"Tradewater ODS 39","Supply Chain","4520"
"Wolf Lands Forest Carbon Project","Reforestation","135311"
"Hudson Technologies HFC Reclamation Project Champaign 2020","Supply Chain","903568"
"Carlisle Abandoned Mine Methane Recovery Project","Supply Chain","145042"
"Hudson Technologies HFC Reclamation Project Ontario 2020","Supply Chain","156893"
"Anew - Eagle Mountain Forestry Project","Reforestation","96635"
"Anew - White Mountain Forestry Project","Reforestation","79478"
"ILTF/NICC & SIG Fond Du Lac Band Forest Carbon Project","Reforestation","263697"
"Tradewater ODS 40","Supply Chain","93755"
"ILTF/NICC & SIG  Keweenaw Bay Indian Community Forest Carbon Project","Reforestation","479355"
"Bluesource - Vermejo Forestry Project","Reforestation","1794450"
"Anew - Northeast Kingdom Forestry Project","Reforestation","52239"
"Advanced Refrigeration US49 - ARS 005","Supply Chain","367047"
"Advanced Refrigeration CAL - ARS 005B","Supply Chain","18605"
"Advanced Refrigeration CAN - ARS 005C","Supply Chain","16102"
"Anew - Bayfield County Forest Project","Reforestation","558755"
"Willow Lake Abandoned Mine Methane Recovery Project","Supply Chain","204215"
"Tradewater ODS 41","Supply Chain","72142"
"A-Gas V5","Supply Chain","754484"
"The Nature Conservancy – Michigamme Highlands Carbon Project","Reforestation","211034"
"Hudson Technologies HFC Reclamation Project 2020 - Georgia","Supply Chain","688636"
"Hudson Tech 2021-2","Supply Chain","85100"
"PMR #3","Supply Chain","80196"
"CH4 - BWM Carbon Capture Project 1","Supply Chain","64213"
"True Manufacturing FBA Project 002A","Supply Chain","282972"
"Anew - Canada Creek Forestry Project","Reforestation","46257"
"Forest Carbon Works Hawk Rock Holdings Project","Reforestation",NA
"Whirlpool HFO Amana 656","Supply Chain","2149053"
"Whirlpool HFO Amana 657","Supply Chain","1698251"
"Whirlpool HFO Ottawa 658","Supply Chain","414184"
"Whirlpool HFO Ottawa 659","Supply Chain","26358"
"Whirlpool HFO Ramos 660","Supply Chain","1463633"
"Whirlpool HFO Ramos 661","Supply Chain","93109"
"Whirlpool HFO Supsa 662","Supply Chain","129653"
"Fielding Environmental HFC Reclamation Offset Project","Supply Chain","93571"
"Forest Carbon Works Downeast Woodlands Project","Reforestation",NA
"Tradewater ODS 42","Supply Chain","93937"
"Blue Hills Forest Carbon Project","Reforestation","30260"
"New Future Abandoned Mine Methane Recovery Project","Supply Chain","112158"
"TWRS 2","Supply Chain","17238"
"Tradewater ODS 43","Supply Chain","73042"
"Finite Carbon - L.D. O'Rourke Foundation IFM","Reforestation","252216"
"Anew - Two-Hearted Forestry Project","Reforestation","146731"
"Affinity Mine Methane Incineration Project","Supply Chain","129262"
"Heilwood Mine Methane Incineration Project","Supply Chain","196904"
"A-Gas V6","Supply Chain","1908868"
"Anew - Superior Watershed Forestry Project","Reforestation","92970"
"A-Gas V7","Supply Chain","186441"
"Anew - Quinte Forestry Project","Reforestation","188676"
"Anew - Sylvania Forestry Project","Reforestation","72536"
"Gibson North AMM Project","Supply Chain",NA
"Anew - McCoy Forestry Project","Reforestation","53723"
"Anew – Iron County Forestry Project","Reforestation","435200"
"Tradewater ODS 44","Supply Chain","89712"
"Anew - Hartwood Forestry Project","Reforestation","41263"
"Anew - Michigan DNR Wolverine-Copper Forestry Project","Reforestation","260638"
"Forest Carbon Works Shumway Family Forest Project","Reforestation",NA
"Hudson Tech 2021-3","Supply Chain","58191"
"American Refrigerants 1","Supply Chain","13250"
"Oaktown Fuel 1 Mine Methane Incineration Project","Supply Chain","39135"
"Oaktown Fuel 2 Mine Methane Incineration Project","Supply Chain","41281"
"Anew - Evergreen Forest Project","Reforestation",NA
"Anew - Katahdin Forestry Project","Reforestation","770071"
"Anew - Longview Ranch Forestry Project","Reforestation","45641"
"Finite Carbon - Windrock Land Company IFM","Reforestation","1473011"
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project","Supply Chain","30331"
"Anew - Empire Riverlands Forestry Project","Reforestation","287968"
"Advanced Refrigeration US49 - ARS 006","Supply Chain","306989"
"Advanced Refrigeration CAL - ARS 006B","Supply Chain","25376"
"Advanced Refrigeration CAN - ARS 006C","Supply Chain","18868"
"Hodag Forest Project (HFP)","Reforestation",NA
"ILTF/NICC & Mississippi Band of Choctaw Indians Forest Carbon Project","Reforestation","175467"
"Anew - Cole & Crane Forestry Project","Reforestation",NA
"Kibby Skinner IFM Project","Reforestation","31754"
"North Florida Land Trust Forest Conservation","Reforestation",NA
"Green Diamond Resource Company Mad River IFM","Reforestation",NA
"Cumberland County Solid Waste Complex: GHG Emissions Reduction Automated Collection of Landfill Gas","Supply Chain","29760"
"South Wake Landfill, Apex, Wake County NC: GHG Emissions Reduction Automated Collection of Landfill Gas","Supply Chain","22161"
"Perennial CMM CMB7-1 Flare Project","Supply Chain","122511"
"Scott River Shackleford IFM Project","Reforestation","93974"
"Scott River Whiskey IFM Project","Reforestation","178843"
"Scott River Wildcat IFM Project","Reforestation","76041"
"Finite Carbon - Loon Echo and Mahoosuc Land Trusts IFM","Reforestation","106940"
"Tradewater US - ODS - #1","Supply Chain","31818"
"Advanced Refrigeration - ARS2019001","Supply Chain","44458"
"Green Diamond Resource Company Klamath River North IFM","Reforestation",NA
"Forest Carbon Works Keasey Family Corporation Project","Reforestation",NA
"Green Diamond Resource Company Thompson River IFM","Reforestation","42075"
"Advanced Refrigeration - ARS2021001","Supply Chain","39881"
"Urling Abandoned Mine Methane Recovery Project","Supply Chain","21850"
"Tradewater ODS 45","Supply Chain","75576"
"Northern Cheyenne Forest Carbon Project","Reforestation",NA
"Beckley Pocahontas Mine Methane Incineration Project","Supply Chain","187099"
"Advanced Refrigeration - ARS2020001","Supply Chain","32742"
"Green Assets - DLT Avoided Conversion Project","Reforestation","1005326"
"Marshall County Flare IV","Supply Chain","73959"
"Green Diamond Resource Company Lost Trail IFM","Reforestation","7493"
"Anew - Allagash Headwaters Forestry Project","Reforestation","85662"
"Hudson Tech 2022-1","Supply Chain","76661"
"Gulf Coastal Plain IFM Project","Reforestation",NA
"Tradewater US - ODS - #2","Supply Chain","24294"
"GMMC1","Supply Chain",NA
"Fielding Environmental HFC Reclamation Offset Project - 2020","Supply Chain","80697"
"Federal 2 Abandoned Mine Methane Recovery Project","Supply Chain","436803"
"Tradewater ODS 46","Supply Chain","114791"
"Foam Blowing Agent Project 003G","Supply Chain","1439650"
"Foam Blowing Agent Project 002G","Supply Chain","318479"
"Foam Blowing Agent Project 001N","Supply Chain","790397"
"Spray Foam Omega 4","Supply Chain","804831"
"Spray Foam Alpha 3","Supply Chain","212324"
"Lowry Mine Methane Incineration Project","Supply Chain","108948"
"Refrigerant Management Canada Ozone Depleting Substance Destruction Project - 2019","Supply Chain","110016"
"A-Gas V8","Supply Chain","1368452"
"A-Gas V9","Supply Chain","154340"
"A-Gas V10","Supply Chain","343908"
"Summit HFC Reclaim 2020","Supply Chain","90374"
"RHI HFC Reclaim 2021","Supply Chain","51793"
"Marion County Flare II","Supply Chain","115823"
"Tradewater ODS 47","Supply Chain","129471"
"Nuveen Upper Piedmont Conservation Area","Reforestation","315158"
"ILTF/NICC & Blackfeet Nation Forest Carbon Project","Reforestation","378622"
"NativState – S&J Taylor Forest Carbon Improved Forest Management Project","Reforestation","597902"
"Century/Powhatan No. 6 MMC Project","Supply Chain",NA
"Finite Carbon - Bessey Development Company IFM","Reforestation","115742"
"Finite Carbon - Scott Woodlands IFM","Reforestation","106246"
"Finite Carbon - Appalachian Carbon Exchange IFM","Reforestation",NA
"Advanced Refrigeration - ARS2020002","Supply Chain","13360"
"Tradewater International - Saudi Arabia 1.0","Supply Chain",NA
"Anew - High Cascades Forestry Project","Reforestation",NA
"Tradewater International Honduras 1.0","Supply Chain","61861"
"CH4-BWM Carbon Capture Project 2","Supply Chain","54665"
"NativState - Mixed Upland Forests of the Ozarks & Ouachita Mountains (PDA)","Reforestation",NA
"NativState - Bottomland Forests of the Mississippi Delta & Coastal Plains (PDA)","Reforestation",NA
"HT HFC Reclamation Project Ontario 2021","Supply Chain","178538"
"Bonny Abandoned Mine Methane Recovery Project","Supply Chain","107096"
"Shoal Creek Mine Methane Incineration Project","Supply Chain","174473"
"Rend Lake Abandoned Mine Methane Recovery Project","Supply Chain","112376"
"Hudson Tech 2022-2","Supply Chain","52817"
"Perennial CMM Emerald Mine AMM Flare Project","Supply Chain","134887"
"OMMC1","Supply Chain","5016"
"Advanced Refrigeration - ARS2020003","Supply Chain","257840"
"Tradewater International - Thailand 1.0","Supply Chain","192244"
"Advanced Refrigeration - ARS2022001","Supply Chain","19002"
"Sheep and Dixie Fire Project","Reforestation",NA
"True Manufacturing FBA Project 002B","Supply Chain","169066"
"HT HFC Reclamation Project Champaign 2021","Supply Chain","1259253"
"HT HFC Reclamation Project Georgia 2021","Supply Chain","292094"
"Marshall County Flare V","Supply Chain","26898"
"Coastal Edge IFM","Reforestation",NA
"Finite Carbon - Green Acre Woodlands IFM","Reforestation",NA
"A-Gas South Korea 1","Supply Chain","88945"
"Fielding Environmental HFC Reclamation Offset Project - 2021","Supply Chain","55015"
"Tradewater ODS 48","Supply Chain","132823"
"A-Gas V11","Supply Chain","937572"
"Summit HFC Reclaim 2021","Supply Chain","134047"
"Advanced Refrigeration - ARS2021002","Supply Chain","47025"
"Foam Blowing Agent Project 003H","Supply Chain","1102120"
"Foam Blowing Agent Project 001P","Supply Chain","1016515"
"Foam Blowing Agent Project 002H","Supply Chain","305601"
"Spray Foam Alpha 4","Supply Chain","239150"
"Spray Foam Omega 5","Supply Chain","675572"
"Tradewater - Thailand 2","Supply Chain","193364"
"Finite Carbon - Manulife Blueback IFM","Reforestation","331994"
"American Eagle Mine Methane Incineration Project","Supply Chain","293279"
"Perennial CMM CMB10-4 Flare Project","Supply Chain","144936"
"Finite Carbon - Lykes Bros. Inc. IFM","Reforestation",NA
"Tradewater - Thailand 3","Supply Chain","192051"
"Harrison County Flare I","Supply Chain","68393"
"HT HFC Reclamation Project Ontario 2022","Supply Chain","151019"
"HT HFC Reclamation Project Champaign 2022","Supply Chain","1038402"
"NativState - Bottomland Forests of the Louisiana Plains (PDA)","Reforestation",NA
"A-Gas ODS-VER1","Supply Chain","15943"
"Perennial CMM HRS Dent's Run Flare Project","Supply Chain","116527"
"Anew - Big Poplar Forestry Project","Reforestation","741450"
"Anew - Little Bear Forestry Project","Reforestation","299809"
"Doyon Ts'ebaa North","Reforestation",NA
"Anew - Louisiana Lowlands Forestry Project","Reforestation",NA
"Anew - Gingercake Ridge Forestry Project","Reforestation",NA
"Doyon Ts'ebaa South","Reforestation",NA
"Anew - Gray Wolf Forestry Project","Reforestation",NA
"Anew - Appalachian Hollows Forestry Project","Reforestation",NA
"Anew - Chestnut Oak Forestry Project","Reforestation",NA
"Anew - Kanawha River Forestry Project","Reforestation","680517"
"Anew - Gauley River Forestry Project","Reforestation",NA
"Advanced Refrigeration - ARS2021003","Supply Chain","20230"
"A-Gas V12","Supply Chain","1855393"
"Tradewater ODS 49","Supply Chain","86994"
"Mississippi River Islands Forest Conservation Project","Reforestation","158548"
"TCT Meridian Northwest IFM","Reforestation",NA
"Tradewater US - ODS - #3","Supply Chain","67967"
"Advanced Refrigeration - ARS2022002","Supply Chain","64135"
"Hudson Tech 2023-1","Supply Chain","71350"
"Rosetta IFM Project","Reforestation",NA
"Northwest Arkansas IFM","Reforestation",NA
"Capture and removal of fugitive venting coal mine methane 50-5","Supply Chain",NA
"A-Gas South Korea 2","Supply Chain","74831"
"HMMC1","Supply Chain","20928"
"Tradewater ODS 50","Supply Chain","42364"
"Razorback IFM Project","Reforestation",NA
"Spray Foam Omega 4C","Supply Chain","189460"
"Spray Foam Omega 5C","Supply Chain","154417"
"Flathead Ridge Ranch Forest Carbon Project","Reforestation",NA
"Tradewater US - ODS - #6","Supply Chain",NA
"Heartland Methane Abatement and Land Restoration – Packard & Kottke Ranch Project","Supply Chain","80782"
"Finite Carbon - Grace Woodlands IFM","Reforestation",NA
"Tradewater ODS 51","Supply Chain","139956"
"Tradewater - Chile 1","Supply Chain",NA
"Tradewater OOG 1","Supply Chain",NA
"Roosevelt Regional Landfill, Roosevelt, WA: GHG Emission Reduction Automation Collection of Landfill Gas","Supply Chain","39414"
"Wesco HMB, Inc. HFC Reclamation Project  New Jersey 2023","Supply Chain","84269"
"Maine St. John River Carbon Project","Reforestation",NA
"OH-2022-VE001 Orphan Well Project","Supply Chain",NA
"Harrison County Flare II","Supply Chain","52625"
"Calion Ouachita River Wilderness","Reforestation",NA
"Anew - Glacial Lakes Forestry Project","Reforestation",NA
"A-Gas 2-2023","Supply Chain","109180"
"Tradewater - Thailand 4","Supply Chain","189561"
"Advanced Refrigeration - ARS2021004","Supply Chain","164129"
"A-Gas V14","Supply Chain","2220554"
"Perennial CMM CMB3-5 Flare Project","Supply Chain",NA
"Buchanan VAM VS-16","Supply Chain","529722"
"Cherry Creek Forest Carbon Project","Reforestation",NA
"Finite Carbon - Northeast Carry Woodlands IFM","Reforestation",NA
"Harrison County Flare III","Supply Chain","23653"
"NativState - Mixed Broadleaf Forests of the Ozark Highlands (PDA)","Reforestation",NA
"NativState - Bottomland Forests of the Mississippi Delta and Piedmont (PDA)","Reforestation",NA
"NativState - Bottomland Forests of the South-Central Plains (PDA)","Reforestation",NA
"Tradewater OOG 2","Supply Chain",NA
"Refrigerants Inc HFC Reclaim 2022","Supply Chain",NA
"PMR VT2","Supply Chain",NA
"Tradewater ODS 52","Supply Chain","61130"
"Advanced Refrigeration - ARS2021005","Supply Chain","166106"
"Broome County Nanticoke Landfill, Binghamton, NY:  GHG Emissions Reduction Automation Collection of Landfill Gas","Supply Chain",NA
"Hudson Tech 2023-2","Supply Chain","41444"
"Double Bar IFM","Reforestation",NA
