"project_name","scope","credits_issued"
"Tradewater ODS 15","Supply Chain","52322"
"Hudson Tech 2018-1","Supply Chain","21967"
"Tradewater ODS 16","Supply Chain","148592"
"Tradewater ODS 17","Supply Chain","105029"
"Tradewater ODS 18","Supply Chain","96146"
"Bluesource - Cumberland Mountains Improved Forest Management Project","Reforestation","7033181"
"Bluesource – Burnt Mountain Improved Forest Management Project","Reforestation",NA
"Bluesource – Edge of Appalachia Improved Forest Management Project","Reforestation","683332"
"Whirlpool HFO Amana 440","Supply Chain","127682"
"TNC-Chestnut Mountain Improved Forest Management Project","Reforestation","381185"
"Coolgas 2019-2","Supply Chain","113564"
"A-Gas 2019-3","Supply Chain","114871"
"A-Gas 2019-4","Supply Chain","88307"
"Hudson Tech 2019-1","Supply Chain","54157"
"Foam Blowing Agent Project 001B","Supply Chain","63104"
"Foam Blowing Agent Project 001C","Supply Chain","93458"
"Foam Blowing Agent Project 001D","Supply Chain","85790"
"Foam Blowing Agent Project 002D","Supply Chain","110988"
"Foam Blowing Agent Project 002C","Supply Chain","110310"
"Foam Blowing Agent Project 002B","Supply Chain","105696"
"Foam Blowing Agent Project 003C","Supply Chain","291983"
"Foam Blowing Agent Project 003D","Supply Chain","520153"
"Bluesource - Kootznoowoo Improved Forest Management Project","Reforestation",NA
"Foam Blowing Agent Project 001E","Supply Chain","46868"
"Bluesource - Haida Improved Forest Management Project","Reforestation","324357"
"Anew - Klawock Heenya Native Community Forestry Project","Reforestation","341624"
"Tradewater ODS 19","Supply Chain","85284"
"Foam Blowing Agent Project 001F","Supply Chain","60655"
"Foam Blowing Agent Project 001G","Supply Chain","63778"
"Foam Blowing Agent Project 001H","Supply Chain","66273"
"Foam Blowing Agent Project 001I","Supply Chain","67092"
"Foam Blowing Agent Project 001J","Supply Chain","68943"
"WTE Digester","Supply Chain","37316"
"Tradewater ODS 20","Supply Chain","83032"
"Hudson Tech 2019-2","Supply Chain","44551"
"PERENNIAL CN9-1 AMM FLARE PROJECT","Supply Chain","65456"
"Tradewater ODS 21","Supply Chain","35887"
"Tradewater ODS 22","Supply Chain","83594"
"A-Gas 2019-5","Supply Chain","125403"
"A-Gas 2019-6","Supply Chain","149835"
"A-Gas 2019-7","Supply Chain","91017"
"Appalachia Carbon Project  2","Reforestation",NA
"Appalachia Carbon Project 3","Reforestation",NA
"Advanced Refrigeration US49 - ARS 001","Supply Chain","199624"
"Advanced Refrigeration US49 - ARS 002","Supply Chain","324357"
"Advanced Refrigeration US49 - ARS 003","Supply Chain","371461"
"Tradewater ODS 23","Supply Chain","101230"
"Lower Green Swamp Preserve","Reforestation","174278"
"Whirlpool HFO Amana 485","Supply Chain","125302"
"Whirlpool HFO Amana 486","Supply Chain","119102"
"Whirlpool HFO Amana 487","Supply Chain","66579"
"Tradewater ODS 24","Supply Chain","83226"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2016","Supply Chain","25094"
"Tradewater ODS 25","Supply Chain","84831"
"Marshall County Flare I","Supply Chain","350939"
"Tradewater ODS 26","Supply Chain","84842"
"A-Gas 2019-Misc","Supply Chain","51610"
"A-Gas 2019-8","Supply Chain","42038"
"Bluesource - Two-Hearted Improved Forest Management Project","Reforestation",NA
"Anew - Kootznoowoo Native Community Forestry Project","Reforestation","636878"
"Tradewater ODS 27","Supply Chain","106355"
"HFC Emissions Reduction in Spray Foam by Replacement of HFC-245fa Blowing Agent with Solstice LBA® (HFO-1233zd(E)) 2017","Supply Chain","22304"
